Raw_Feature,Tree_Importance,SHAP_Importance,Tree_Rank,SHAP_Rank
Weight,0.580780152444237,0.16533857117318437,1,1
FCVC,0.10056661847636963,0.039528248737200324,3,2
Height,0.0766163366688188,0.037055332469189226,4,3
Gender,0.10685412622349463,0.029053721561649523,2,4
Age,0.039661408637339114,0.020785714267994925,5,5
CH2O,0.015358825641782996,0.011996597957989753,7,6
TUE,0.025355410568911402,0.011963416853911037,6,7
MTRANS,0.001879867172523142,0.0090897096212907,15,8
CALC,0.013724923391089482,0.007804336359595466,9,9
family_history_with_overweight,0.0032562839216684365,0.0076009917208944445,13,10
FAF,0.005701631423941591,0.006746580700155469,11,11
NCP,0.01488807563358125,0.006736456142548089,8,12
FAVC,0.004112328920838675,0.0029136468908523006,12,13
CAEC,0.008693764928097897,0.0022807805899558585,10,14
SCC,0.0024682171891850864,0.0008759657712486615,14,15
SMOKE,8.202875812087323e-05,0.0,16,16
