rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_train_macro_f1,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_weighted_f1,mean_fit_time,param_classifier__n_estimators,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__subsample,param_classifier__max_features
1,0.8919679674011272,0.0054329192185449396,0.9309083375608136,0.9026841018582245,0.8917998029383851,0.9023000572883776,20.52279849052429,100,0.15,3,5,2,0.8,0.8
2,0.8909714316131108,0.004195910825965618,0.9142392972454798,0.9014452856159669,0.8909273009423053,0.901290794060212,21.59241328239441,150,0.15,2,2,2,0.8,0.8
3,0.8908034341414657,0.005599185106897847,0.9421130242610524,0.9015141087405368,0.8906952990263001,0.9013038668722366,12.401627731323241,100,0.15,4,10,4,0.9,sqrt
4,0.8904855180516517,0.004949095120024253,0.930726962656844,0.9013076393668271,0.8904647465677632,0.9010727916977931,49.248167991638184,150,0.05,4,5,1,0.8,
5,0.8904098036755373,0.005225665466991205,0.9123757597365248,0.9010323468685477,0.8903716006646727,0.900865428812317,30.1149254322052,200,0.1,2,2,1,0.8,0.8
6,0.8901640945213416,0.005826121819806702,0.9419181198711477,0.9008258774948382,0.889871235995636,0.9006305932649866,12.413713645935058,100,0.15,4,10,2,0.8,sqrt
7,0.887434246492119,0.0039188363992129875,0.9050671156230742,0.8983482450103235,0.8874190014292122,0.8981680009200254,15.700523042678833,100,0.15,2,2,2,0.8,0.8
8,0.8873811627864361,0.004700542320481107,0.9056133104674634,0.8982105987611838,0.8873973567282251,0.8980641521505619,19.146762323379516,100,0.15,2,2,1,0.8,
9,0.8849305758334267,0.00684530479553357,0.9021601254916558,0.896214728148658,0.884771214970919,0.8959856627961035,11.232525300979614,150,0.15,2,10,2,1.0,sqrt
10,0.8844022440691773,0.004483570056752485,0.906407017309275,0.8956641431520991,0.8845610645573074,0.8954542010160196,7.065443325042724,75,0.15,3,10,4,0.8,sqrt
11,0.8817698701832845,0.0035027560962659675,0.8947144685147187,0.8935306262904336,0.8818135380974657,0.8931553481647745,33.27355766296387,200,0.05,2,10,4,0.9,0.8
12,0.8816677611569415,0.005843278785716244,0.8997763882505924,0.8932553337921542,0.8816617029195424,0.8929296203496246,14.949639892578125,200,0.1,2,2,4,1.0,sqrt
13,0.8789756319805442,0.0035706313230765944,0.8948412657536082,0.8909841706813489,0.8789087129952348,0.890462020645191,39.2646849155426,150,0.03,3,2,1,0.8,
14,0.8774187459081318,0.00545989172462901,0.8948027159876079,0.8894012388162423,0.8773044869866018,0.8889576687090088,14.070182514190673,150,0.05,3,2,4,0.8,sqrt
15,0.8762077739139386,0.005642526953098563,0.8977570830193186,0.8885065381968342,0.8760309244454353,0.8879661804555841,18.99066276550293,150,0.03,4,10,4,1.0,sqrt
16,0.8698944839330591,0.004982531693484311,0.8850238640544428,0.8827942188575362,0.8697949979286514,0.8821432358514067,19.006406402587892,200,0.03,3,10,1,0.9,sqrt
17,0.8464511419438286,0.0027110818223727634,0.8557430645392223,0.8622161046111494,0.8465808416096848,0.8606859212624777,13.654893493652343,75,0.05,2,5,2,1.0,0.8
18,0.8386039106800611,0.004871223192619055,0.8491424113590446,0.855264969029594,0.8392198159426482,0.8533905543055458,11.416932535171508,200,0.03,2,5,1,0.9,sqrt
19,0.828929637008408,0.003922671242992391,0.8387393784383447,0.8468685478320715,0.8296756605876503,0.8444658130382109,6.97866473197937,100,0.05,2,5,1,0.8,sqrt
20,0.7995468369305272,0.0066233667630668375,0.8082098353098542,0.821403991741225,0.8003183387043034,0.8173030156138849,5.538837480545044,75,0.05,2,5,2,1.0,sqrt
