Sample_Index,True_Class,Predicted_Class,Correct_Prediction,Confidence,Feature,SHAP_Value,Absolute_SHAP,Importance_Rank
2559,Normal_Weight,Normal_Weight,True,0.7155981129281602,Weight,0.32695681168891744,0.32695681168891744,1
2559,Normal_Weight,Normal_Weight,True,0.7155981129281602,Height,0.3015516155945881,0.3015516155945881,2
2559,Normal_Weight,Normal_Weight,True,0.7155981129281602,TUE,-0.07821771972495112,0.07821771972495112,3
2559,Normal_Weight,Normal_Weight,True,0.7155981129281602,CAEC,-0.07160581659634112,0.07160581659634112,4
2559,Normal_Weight,Normal_Weight,True,0.7155981129281602,CH2O,0.04412501161168038,0.04412501161168038,5
2390,Obesity_Type_II,Obesity_Type_II,True,0.9794829119841685,Weight,0.4367054565610582,0.4367054565610582,1
2390,Obesity_Type_II,Obesity_Type_II,True,0.9794829119841685,Age,0.20340101866283777,0.20340101866283777,2
2390,Obesity_Type_II,Obesity_Type_II,True,0.9794829119841685,Gender,0.16609654309048666,0.16609654309048666,3
2390,Obesity_Type_II,Obesity_Type_II,True,0.9794829119841685,MTRANS,0.05717162646841953,0.05717162646841953,4
2390,Obesity_Type_II,Obesity_Type_II,True,0.9794829119841685,Height,-0.04860815179935614,0.04860815179935614,5
1417,Normal_Weight,Normal_Weight,True,0.9443381627764951,Weight,0.62835977244409,0.62835977244409,1
1417,Normal_Weight,Normal_Weight,True,0.9443381627764951,Height,0.09086032891980143,0.09086032891980143,2
1417,Normal_Weight,Normal_Weight,True,0.9443381627764951,CH2O,0.01703696651864156,0.01703696651864156,3
1417,Normal_Weight,Normal_Weight,True,0.9443381627764951,TUE,0.01272968840145125,0.01272968840145125,4
1417,Normal_Weight,Normal_Weight,True,0.9443381627764951,Age,0.012354180115139668,0.012354180115139668,5
13312,Obesity_Type_III,Insufficient_Weight,False,0.9728291319014702,Weight,0.8133490941939107,0.8133490941939107,1
13312,Obesity_Type_III,Insufficient_Weight,False,0.9728291319014702,CAEC,0.04360238777263629,0.04360238777263629,2
13312,Obesity_Type_III,Insufficient_Weight,False,0.9728291319014702,FCVC,0.0317318718555768,0.0317318718555768,3
13312,Obesity_Type_III,Insufficient_Weight,False,0.9728291319014702,Age,0.01643269382859542,0.01643269382859542,4
13312,Obesity_Type_III,Insufficient_Weight,False,0.9728291319014702,CH2O,-0.009930038806711478,0.009930038806711478,5
20265,Normal_Weight,Insufficient_Weight,False,0.9899406697320756,Weight,0.7142471373755022,0.7142471373755022,1
20265,Normal_Weight,Insufficient_Weight,False,0.9899406697320756,Height,0.07335484623892169,0.07335484623892169,2
20265,Normal_Weight,Insufficient_Weight,False,0.9899406697320756,CAEC,0.0711139416819985,0.0711139416819985,3
20265,Normal_Weight,Insufficient_Weight,False,0.9899406697320756,TUE,0.029173300913923915,0.029173300913923915,4
20265,Normal_Weight,Insufficient_Weight,False,0.9899406697320756,CALC,0.008384095100297986,0.008384095100297986,5
19232,Normal_Weight,Insufficient_Weight,False,0.6418189275445231,Weight,0.37511456692085215,0.37511456692085215,1
19232,Normal_Weight,Insufficient_Weight,False,0.6418189275445231,Height,0.17694997390422257,0.17694997390422257,2
19232,Normal_Weight,Insufficient_Weight,False,0.6418189275445231,Age,0.14907772567278382,0.14907772567278382,3
19232,Normal_Weight,Insufficient_Weight,False,0.6418189275445231,FCVC,-0.06918075142818593,0.06918075142818593,4
19232,Normal_Weight,Insufficient_Weight,False,0.6418189275445231,family_history_with_overweight,-0.06191501130130004,0.06191501130130004,5
