rank_test_macro_f1,mean_test_macro_f1,std_test_macro_f1,mean_train_macro_f1,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_weighted_f1,mean_fit_time,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__class_weight
1,0.8871945443237207,0.006268701828929814,0.9456896341613683,0.8983482450103235,0.8870019005710574,0.8980866073073285,6.790702867507934,150,20,10,2,0.5,
2,0.8869625617964291,0.007043035677638203,0.9614796898773399,0.8979353062629043,0.8869874609324224,0.8978394319433264,6.861960601806641,150,15,5,2,0.5,balanced
3,0.8868371718828488,0.005372744354541553,0.9907370759738926,0.8980041293874741,0.8866548925938738,0.8977633602448055,7.237910747528076,200,15,2,1,0.5,
4,0.8864733678053163,0.0059263040501008135,0.9734831824196828,0.8975911906400551,0.8864956363049442,0.8974281006795906,9.927171611785889,200,,2,2,0.5,balanced_subsample
5,0.8862141207111808,0.006193276990140956,0.984818739243428,0.8973847212663454,0.8862302400545097,0.8972297685383079,10.259342908859253,200,30,5,1,0.5,balanced_subsample
6,0.8861155096056219,0.005648312061093137,0.955806242997627,0.8971094287680661,0.8862036705864181,0.8970336943644972,6.811200714111328,150,,10,1,0.5,balanced
7,0.8858994710879404,0.006473554067158456,0.9851112502274002,0.8970406056434962,0.8858918672910618,0.8968807356281051,15.104407691955567,300,30,5,1,0.5,balanced_subsample
8,0.8827276360345099,0.00694359146344123,0.9878134963941829,0.8944941500344117,0.8822016246193639,0.8942495363988675,11.068090152740478,400,15,2,1,sqrt,balanced
9,0.8811691361433699,0.006762051081938059,0.9718621988048097,0.892842395044735,0.8809235116278952,0.8927179019157014,3.983481788635254,150,,2,2,sqrt,balanced
10,0.8808572397510025,0.007010337611143191,0.9378264107892142,0.892429456297316,0.8808096944230318,0.8922529601560367,9.070887327194214,400,,2,4,sqrt,balanced
11,0.8798716660560697,0.006915742527664387,0.9363740577910666,0.891878871300757,0.879152721257135,0.8914580825712516,4.7291380882263185,200,,5,4,sqrt,
12,0.8782341931531784,0.007746019436495698,0.9607465245326802,0.8906400550584996,0.8773351622865798,0.8900971971093303,8.435509204864502,400,30,10,1,log2,
13,0.8777507900456142,0.007356788728567142,0.9467432159522566,0.8897453544390915,0.8774693952036291,0.8895846371530507,4.271649026870728,200,20,10,2,log2,balanced
14,0.8772984065265653,0.006924502477113105,0.9555062391310836,0.8894700619408121,0.876991646797156,0.8892247527667655,8.672208404541015,400,15,5,2,log2,balanced
15,0.8767309600759916,0.005840462259382252,0.9506373084735227,0.8894700619408121,0.8758148752119952,0.8888141662800748,4.535875701904297,200,15,10,1,log2,
16,0.8763315109823191,0.005342742295042833,0.9545785160071336,0.8890571231933929,0.8754008634947124,0.888365951839365,8.616733837127686,400,15,5,2,log2,
17,0.8755211107020944,0.007619512108793115,0.9329282940108911,0.8876806607019958,0.875415240946088,0.8874027132488317,3.550243377685547,150,30,2,4,log2,balanced_subsample
18,0.8745385647551742,0.007419510612806835,0.9303158418487172,0.8867859600825877,0.8743523822941336,0.8865557502622237,5.906179571151734,300,15,2,4,log2,balanced
19,0.872881228693776,0.006279497389924024,0.9101112014867307,0.8860289057123193,0.8719322502919431,0.8851415665149863,7.680056047439575,400,10,2,4,sqrt,
20,0.8725278738108535,0.005730606701652109,0.9108145687583014,0.8846524432209222,0.8726341032868129,0.884612534572069,4.087125396728515,200,10,5,4,sqrt,balanced
